total_rooms,total_bedrooms,population,households,house_value
856,178,571,191,130600
1790,454,1137,386,107900
617,131,378,135,111100
1383,275,853,272,122000
1325,277,764,282,118000
1227,294,928,261,95200
667,140,406,133,94300
1223,281,824,280,92500
1379,287,835,259,91800
1534,300,826,295,109400
1029,181,567,211,129500
771,147,355,144,143400
824,223,533,166,98200
1097,239,609,215,103100
1283,238,576,236,276800
1604,263,594,286,270900
2248,422,870,377,246200
2263,522,1027,509,224200
1571,349,693,326,229100
1520,402,815,375,211600
5083,1212,2420,1146,256100
1077,293,518,276,206300
1248,283,620,275,221300
1342,291,551,266,207400
3061,930,2556,924,350000
3171,698,1498,696,218200
1211,261,523,227,216700
979,175,374,153,270600
2269,380,1004,371,261400
1844,332,769,334,261300
2178,421,940,423,232200
1650,274,645,256,375400
1927,279,705,288,357300
2079,273,684,275,374400
1803,240,572,236,358800
2041,270,671,253,417500
3046,373,975,365,430500
2318,328,779,312,362900
2003,250,658,244,397000
2261,328,819,335,346800
1225,169,412,168,327100
2315,408,835,369,290100
2070,329,722,306,292000
2616,473,1085,487,270900
2640,366,973,355,371100
1978,293,723,272,335600
2220,335,903,362,371300
1125,195,356,181,344000
3078,494,1005,462,342200
3706,531,1205,504,370900
3000,457,987,450,350000
2863,460,1031,448,368600
2551,417,894,404,391800
2255,410,823,377,415300
3360,648,1232,621,284900
1693,391,669,367,287500
2252,592,989,550,272900
2495,491,1058,464,259600
1193,200,506,207,254500
1172,215,489,218,235600
2159,424,824,388,218400
2365,490,1034,475,229200
1895,442,920,425,192100
1650,395,841,380,179300
453,146,749,137,187500
409,97,208,98,138800
503,118,228,100,150000
499,127,287,128,140600
477,119,218,106,120000
1647,376,854,355,144800
3123,749,1695,684,144800
957,188,403,172,245500
589,132,288,131,200000
2026,548,963,521,173700
1829,536,1129,516,185600
895,198,386,204,182600
1909,416,811,406,227900
3022,696,1293,675,220700
1777,446,805,431,212000
2803,930,1372,876,271400
1465,439,862,425,268800
2619,682,1152,616,277800
1149,255,483,249,332500
2363,604,1558,573,338900
2604,837,1798,769,287500
685,141,266,123,384600
1756,465,2184,422,371400
1204,460,2016,477,350000
609,236,1349,250,500001
1087,371,3337,350,175000
2773,998,1721,949,241700
3218,1108,1675,1000,216700
1350,368,707,350,211300
3084,698,1424,694,210200
938,195,393,189,196400
1813,353,828,339,191700
1233,300,571,292,182300
2539,755,1382,713,175000
1267,324,792,321,165900
1665,404,815,372,156900
1659,367,788,346,164300
2225,460,1145,430,150000
2485,607,1354,563,150500
2031,450,958,445,169900
2932,668,1361,608,147400
2246,472,1005,449,152700
2052,435,924,414,182700
1999,417,780,358,179300
3007,691,1582,636,157700
2214,550,1213,568,153100
1088,305,486,267,250000
834,186,494,175,206300
1769,372,849,365,218800
2307,583,1127,548,198200
5161,1744,3276,1742,253600
3497,832,1493,794,257400
3774,744,1461,679,289500
2888,604,1253,538,241700
2153,517,1656,459,489600
1389,191,514,202,446200
1709,318,719,295,456300
1587,444,878,449,336800
1668,225,517,214,500001
3726,474,1366,496,500001
4048,663,1316,590,376900
3618,768,1508,755,309600
4076,920,1800,815,182300
2077,400,719,326,172700
1279,300,675,255,150800
1974,426,875,363,153600
335,83,152,77,106300
1375,307,843,319,142300
610,145,281,132,119400
1025,198,506,204,147900
2063,484,1054,466,132900
1872,419,1017,414,132500
3108,813,1623,765,126900
7355,2408,3100,2051,143800
2990,379,947,361,500001
2492,310,808,315,500001
2991,335,1018,335,500001
3242,366,1001,352,500001
3051,381,1005,369,466100
3494,396,1192,383,500001
1757,246,585,227,457800
2449,312,916,316,471600
1611,203,556,179,500001
3665,517,1470,520,398600
2474,403,1104,398,340700
3037,516,1242,518,289900
2269,323,805,321,335300
1316,177,378,162,333000
1153,235,481,223,241000
772,179,409,160,189600
1711,386,885,373,206300
2650,566,1468,567,215700
1038,220,482,215,210200
1527,320,825,264,208800
859,157,429,158,197900
970,217,528,208,201300
1045,239,496,216,190800
1408,280,718,265,207900
1222,264,630,265,215300
1169,263,723,286,212900
2020,535,959,486,292700
4145,869,3668,855,275000
2038,368,2037,355,200000
5154,,3741,1273,173400
1241,309,821,300,102200
1468,363,870,347,220800
3997,1073,1901,966,242800
2873,763,1243,663,265400
1487,306,730,327,219000
1670,350,793,299,282100
2252,388,1033,434,372000
1731,377,872,363,225800
1710,481,849,457,220800
2388,559,1121,518,234500
2156,458,872,445,254200
1565,315,637,297,351800
1704,371,663,340,275000
1210,168,411,172,405400
2097,444,915,413,228100
1848,479,921,477,234000
955,284,585,266,162500
4329,1110,2086,1053,243400
3011,542,1303,535,273800
1049,185,374,176,248500
2504,516,979,472,244000
1846,471,827,446,240900
1705,246,658,253,306300
1542,289,654,268,240000
891,,384,146,247100
4051,753,1499,797,286600
2646,581,1128,522,266700
2428,525,1110,492,229800
2567,436,1119,415,229300
7031,1249,2930,1235,228400
1914,365,897,390,206200
18634,2885,7427,2718,350700
5785,1379,2973,1312,231000
2876,648,1340,632,252900
6909,1554,2974,1484,353900
5679,1270,2690,1151,291700
1156,365,583,326,100000
14316,2045,5781,2007,341600
3596,467,1738,512,412500
3541,570,1478,529,248600
1808,302,746,270,254900
2879,480,1235,455,241500
3204,477,1411,484,295200
3866,531,1368,521,340400
2476,368,1048,367,274700
2211,350,1004,365,238600
2663,387,1086,367,266400
2599,366,922,350,330200
4569,824,1950,819,206800
2973,622,1413,595,209200
3115,625,1444,568,195800
1843,282,749,269,253500
2053,336,867,329,241800
6740,1073,2723,1035,252500
1751,269,731,263,263900
1663,295,781,301,227000
3716,657,1784,652,220900
2718,447,1156,410,259300
1420,272,645,277,232500
1893,310,821,315,231600
3906,790,1912,770,209400
3400,736,1487,694,223200
3402,758,1645,710,209900
4413,1107,2239,1051,208200
2304,618,1021,552,203800
2350,499,1105,467,195700
5914,1309,2999,1295,190500
1575,324,740,284,181000
1414,274,629,244,184900
848,202,314,205,190800
3051,685,1479,668,242200
4296,817,1732,800,188300
2898,557,1338,550,183500
1071,201,440,192,204200
2619,403,922,393,251900
1494,316,611,288,187500
2260,416,994,412,198200
1394,223,545,230,219000
1028,129,317,143,275000
3758,819,1573,736,245400
2163,470,925,435,177500
1699,408,768,385,171600
1555,289,620,292,183300
1114,206,425,207,175000
1498,313,1003,305,156700
726,147,519,135,157500
890,200,481,198,179800
2639,533,1209,519,205500
2562,554,1398,525,178900
361,69,158,58,262500
3008,659,1817,664,165000
1369,284,766,289,159700
1692,398,814,328,158300
1007,245,618,239,144800
3783,814,2139,789,166300
1507,242,632,253,191000
666,132,366,134,175000
2229,601,877,485,137500
2215,587,830,573,141700
1616,372,739,379,210900
1190,251,540,266,198300
4169,1047,2024,962,157400
2024,320,823,334,264700
1723,394,711,353,218400
2264,390,931,368,235100
1996,268,686,270,341800
2862,394,1030,397,367300
2183,383,976,392,243500
1037,207,552,210,167900
1134,153,340,171,371200
786,132,288,132,218900
1397,253,555,248,202700
2315,451,1006,444,186200
1613,339,776,346,188900
1421,298,609,270,180000
5778,1526,2441,1352,202700
3094,866,1364,789,181700
3905,1007,2197,1044,166800
3046,557,1333,544,183700
3516,710,1810,703,218000
998,178,531,183,191500
1464,244,672,261,194700
1463,292,695,330,187200
4124,1054,2162,998,223100
2380,769,1216,643,271300
1266,228,606,239,194100
2239,391,1203,379,190400
1571,317,874,301,189100
1246,221,637,222,184600
1501,287,703,276,197300
1468,252,733,229,192600
1118,219,625,228,192200
1097,208,568,225,194600
1719,303,836,311,193500
1755,365,952,362,202600
1687,348,568,352,83300
2262,391,1125,366,212600
2087,407,840,401,187800
1480,278,796,283,205700
1545,273,863,267,192900
2632,447,1349,486,205200
2261,443,929,383,213400
1670,308,957,335,183600
2141,535,1093,555,178400
3337,613,1489,607,219200
3184,716,1561,628,183100
2341,500,1256,485,157100
1197,269,695,279,157800
1131,278,560,237,161700
1164,284,632,289,152100
3495,787,1849,750,144900
2488,617,1287,538,179900
2681,508,1580,536,179100
2495,635,1571,579,159900
1689,461,828,443,161400
1298,306,835,338,170400
2693,789,1765,724,137500
746,,387,161,178400
2444,651,1562,618,155200
1472,310,768,309,160900
2227,560,1140,472,167300
200,25,83,31,340000
1283,194,485,171,431000
2445,590,1189,573,301100
1307,236,586,249,241900
3785,936,2240,792,162500
2031,357,867,352,299200
8299,1326,3827,1288,315500
7518,1279,3827,1294,216800
1815,426,1280,431,218100
5367,1207,2667,1047,170300
1167,370,253,137,275000
2607,682,1401,607,184100
493,168,233,152,160000
1252,305,673,308,175000
1382,353,704,314,197500
500,110,273,120,150000
2333,538,1120,540,205600
1834,463,1105,467,170300
1415,348,569,293,190900
1352,342,691,324,196900
2116,503,1109,448,174000
1976,481,1197,465,170200
1779,413,1061,400,180900
3659,897,2479,903,150500
1892,428,1162,389,167100
1958,484,1146,448,148900
1553,253,724,267,196400
2412,394,975,375,191100
2110,389,952,370,187500
2179,401,1159,399,180600
2457,445,1129,422,182800
2147,399,1175,401,179300
1676,340,924,328,179400
2976,518,1424,538,210300
3036,533,1366,500,192300
2472,398,1171,390,198100
1487,249,641,243,196200
2012,347,880,332,181600
3342,,1635,557,186900
3156,534,1495,543,188300
1748,318,914,317,184000
3429,681,1798,694,184700
3592,703,1625,665,179900
1035,247,599,224,167200
3028,811,2037,703,165400
2431,655,1854,603,154000
2069,500,1408,478,153500
1340,313,766,271,135400
1160,259,725,274,158300
2015,318,1019,340,240700
3882,816,1830,743,180700
3239,671,1469,616,230600
2932,739,1198,624,210800
2104,409,1039,394,165300
1694,251,690,242,254200
3000,419,1155,415,332600
2419,348,1066,384,350000
2280,610,1255,587,161200
5031,1168,2461,1042,179300
1547,372,1063,356,154300
3300,790,2181,740,161800
5018,1439,3069,1299,161900
1813,393,1093,374,165400
1997,436,1349,437,166600
901,191,599,206,149700
686,142,480,149,162100
1954,464,1293,448,152600
2630,722,1414,634,195200
1130,192,543,184,190600
1184,200,572,194,193800
656,115,342,112,200600
2544,643,2332,603,150000
1305,225,768,234,185300
1755,316,913,299,172700
2843,652,1726,643,174100
2538,494,1185,501,194400
1784,311,735,278,206700
1797,327,796,319,204500
410,76,252,82,175000
162,27,86,25,137500
9963,2031,5613,1946,187200
2361,458,1727,467,173600
862,167,407,183,163000
4335,808,2041,734,331600
1487,280,854,301,197600
3592,849,1907,746,197900
432,102,264,77,228100
1457,242,735,249,189500
1578,284,836,292,184200
2172,435,1377,408,180900
1340,245,789,248,172000
1116,199,662,226,177900
1885,307,853,271,173100
1180,212,664,200,172600
5267,1253,4065,1113,182100
1897,440,1109,418,179500
767,171,548,185,176000
691,127,431,149,192600
786,133,463,160,182700
5861,1516,5436,1463,134900
2784,723,2028,693,157600
4524,860,2426,862,190900
1468,304,1038,282,158200
1655,450,857,430,350000
1227,286,848,291,158200
1160,252,729,220,146100
952,172,369,159,226700
2072,352,1001,350,198700
2964,547,1472,527,221200
1032,173,453,176,208500
657,118,328,134,204200
1540,324,793,302,193200
1298,236,632,204,209500
1409,271,1002,281,164900
1383,259,808,241,161400
1151,216,727,215,187000
899,179,455,185,190400
1793,364,1534,346,156600
2485,518,1139,550,157300
1931,376,1175,337,168100
2329,465,1401,453,177600
6711,1374,3388,1289,208900
1939,356,841,364,169200
1642,346,705,351,163900
1619,293,1148,310,164700
517,108,391,107,156900
1570,274,992,249,168800
1213,221,790,243,174100
1826,309,1016,313,206500
2261,443,1039,395,203900
3666,711,2341,703,217000
1633,345,1382,338,159600
2155,522,1858,437,159800
1295,280,1156,300,154300
1295,295,1097,328,149600
1518,302,831,268,188600
3314,638,1873,602,238500
3009,497,1640,514,235300
2605,474,1568,433,261400
5159,832,3174,817,234400
1726,276,1186,310,231700
1816,365,1367,355,156300
2578,551,1680,528,222000
2576,418,1657,410,254400
1644,251,1033,267,244300
1606,240,1117,268,247000
3349,544,2003,488,236500
3475,686,2568,653,151400
1893,338,1461,344,213700
1727,302,1116,273,243600
6243,1273,3163,1274,212500
2077,383,1488,389,214700
1165,333,855,319,213200
4371,889,2530,817,256000
838,295,240,149,237500
3052,760,2097,728,178100
4313,717,2629,721,231800
385,94,295,92,147900
3046,678,2056,628,191700
4342,783,2172,789,247600
3575,597,1777,559,283500
4126,1031,2079,975,216900
2878,478,1276,485,282500
4405,717,2071,688,295600
16199,2993,8117,2847,281800
14917,2708,8012,2606,269800
5719,1064,3436,1057,231200
8647,1407,5019,1379,318300
8112,1376,4576,1348,253400
10648,1818,6075,1797,278200
1150,311,648,245,300000
14014,2861,7205,2753,273500
4332,857,2461,829,223400
1716,312,914,316,214500
4981,964,2841,924,220200
8444,1492,4446,1491,240300
3028,778,1531,736,158000
2068,532,1434,495,224200
1325,274,909,267,177200
2563,485,1174,501,216100
5505,1005,2641,971,269700
6462,1294,3288,1235,231200
3746,993,1606,838,162500
8918,1823,4518,1772,254000
1949,344,986,322,196200
4924,1247,3080,1182,189400
5133,1375,3386,1339,220800
6647,2098,4649,1903,213800
5674,748,2412,714,442900
10687,1540,4552,1520,333400
1354,192,596,220,352400
3715,526,1631,538,305300
2095,342,941,304,259600
3517,645,1724,585,248900
2537,382,1067,410,356000
5106,1207,2738,1108,236000
2215,475,1278,492,218800
2949,529,1538,545,228000
2375,652,1252,586,235900
2312,496,1344,467,203200
2277,420,1353,413,197000
2506,387,1273,406,236400
2829,566,1610,540,223200
3179,703,2142,639,222700
2332,371,1285,404,225000
3584,715,1673,661,240100
3046,507,1772,516,227900
2414,415,1106,453,268600
4133,744,2023,749,275100
2791,495,1276,468,256300
6103,1249,3026,1134,332400
2572,406,1128,395,287600
1910,371,852,357,298900
1890,303,889,314,287600
5405,939,2831,923,222200
3761,623,1776,613,232600
3333,511,1671,504,258300
4925,948,2530,894,230900
3994,764,2721,763,196900
5811,1125,3215,1086,223500
4211,741,2352,734,223900
5532,973,2855,960,243500
28258,3864,12203,3701,451100
4909,577,1981,591,500001
7441,1588,3571,1466,193100
4314,676,1972,623,264400
2016,322,1105,357,246900
5377,744,2759,760,337300
9167,1373,4319,1404,284800
3087,532,1597,483,217300
3170,532,1446,515,291700
2145,369,1285,377,223800
4209,731,2568,703,223100
4247,835,2357,823,211300
4458,922,2998,890,218500
407,97,307,100,156300
6483,1068,3526,1060,248200
1867,343,1213,338,186000
2918,672,1911,639,178200
2316,478,1524,467,190400
1240,264,719,236,210300
4458,856,3038,870,208000
1746,437,1268,404,183300
4572,712,2346,709,245700
4280,673,2216,681,242200
6352,1390,3223,1316,181700
7477,1576,2937,1506,299400
4638,716,2302,687,219500
4377,668,2038,671,231800
3816,637,1935,642,221300
2806,459,1453,444,213800
4822,845,2288,805,206000
6473,1027,2484,970,271100
8072,1050,3386,1062,336500
1280,209,512,208,315600
3166,424,1081,400,500001
3742,555,1590,559,285400
7397,1137,3126,1115,323000
1655,223,706,219,291900
2456,582,793,456,225600
2179,308,926,299,259600
1804,254,831,260,262900
3631,547,1700,520,257300
2876,423,1395,427,259200
7490,1207,3329,1136,339700
2234,270,854,286,337200
1898,239,734,245,334100
4070,624,1543,577,311500
2244,301,937,324,296900
2948,471,1181,474,247900
2034,288,852,295,300400
2130,273,876,285,332400
9540,1294,3926,1229,389800
2702,680,1360,642,233000
522,116,161,102,238500
775,134,315,123,233300
1565,464,769,461,231300
1309,184,514,172,475800
5519,833,2444,825,393200
4337,800,1813,743,247200
1812,294,853,278,229400
4719,741,1895,742,282500
4236,701,1833,663,300600
3634,664,1699,640,293200
1569,242,583,214,278500
13182,2074,4847,1950,352900
228,40,83,42,400000
127,23,51,21,375000
9621,1344,4389,1391,313700
6159,1510,2649,1241,139300
4290,554,1952,576,327500
1786,306,771,279,430600
404,74,144,58,125000
1671,352,729,252,450000
5608,1049,2595,1067,200200
12070,2220,5826,2125,192400
494,81,254,85,418800
5533,943,2474,910,216800
3956,639,2222,662,215500
1906,351,802,319,227700
3433,711,1919,709,184400
1687,372,950,372,158400
2358,498,1157,461,174600
2853,588,1761,572,168400
6296,1082,3200,1047,188400
3980,736,1705,679,256700
2647,536,1422,522,183800
1755,299,702,263,183400
1864,357,1189,349,177500
1078,207,555,197,186900
20354,3493,8768,3293,238900
3112,872,1392,680,172500
495,112,277,109,179200
2157,418,929,419,204400
1501,299,629,288,209400
8068,1217,3489,1259,264200
3023,518,1225,468,350000
2211,344,1024,321,199800
2163,339,947,346,211000
1773,278,804,269,201100
1947,418,900,354,193000
14701,2210,6693,2232,245000
1364,282,338,152,117600
2061,465,573,196,97900
3045,543,202,102,140600
3545,702,946,411,120900
2944,558,1091,466,119000
1443,249,435,181,129200
2277,474,767,356,99100
1564,357,618,277,108900
4403,891,1103,433,111700
1133,254,495,187,68900
1001,195,369,157,96400
1783,337,638,262,116700
1521,309,607,240,123800
1374,297,657,288,97900
1391,246,546,214,129800
1473,265,597,228,121300
1248,234,529,216,107200
1748,322,4930,287,121900
3998,765,1614,698,113400
3471,653,1793,600,99100
2791,492,1187,438,103000
2084,449,834,305,114200
5654,1085,2237,953,144100
4221,816,1737,743,128600
1787,347,806,306,157200
2144,420,985,381,118500
1538,305,730,267,116700
3750,691,1444,603,134800
3267,614,1252,566,109900
1257,231,559,213,144300
1341,256,533,242,123600
9831,1921,4644,1775,112600
6010,1116,2710,1149,107300
7653,1578,3628,1494,117800
5273,1177,2446,1199,89900
2351,620,1215,548,102300
7254,1785,4030,1667,87300
10265,1860,4591,1906,142600
14631,3298,7517,3262,153100
1707,296,822,297,126600
1651,309,856,293,118300
1737,290,747,265,147000
568,127,267,129,78100
1139,265,623,264,85800
2901,689,1426,632,84500
444,80,1107,98,137500
3425,827,2469,758,88900
3494,843,1571,784,120200
4362,1053,2053,1000,74500
2976,599,1181,560,85100
3263,604,1290,594,130300
2551,378,1011,374,125200
7744,1375,3316,1365,111400
2236,372,974,379,97000
7212,1355,3264,1264,122600
5690,1189,2887,1077,116300
140,28,84,29,179200
2923,659,1371,626,85800
677,152,379,154,94800
502,100,311,100,200000
857,232,520,198,112500
1457,389,802,342,69000
957,263,513,223,55000
1741,401,753,377,77900
7272,1559,5022,1524,98800
1890,420,974,383,78700
5051,1054,2948,980,81300
2242,517,1160,449,60300
2978,694,1879,679,66300
1222,250,708,281,116700
5103,825,2456,810,159700
2741,451,1217,437,139200
1453,299,904,286,89600
549,105,275,94,153100
2202,422,1109,403,87500
3759,,1705,600,158600
1535,279,726,272,95100
1465,278,745,250,93800
2867,559,1203,449,95300
3996,748,1786,728,141300
858,262,47,27,67500
1468,285,611,235,73000
1527,269,665,261,119600
4591,904,1904,812,93200
1742,307,721,312,117900
3835,727,1456,658,97200
1958,369,875,354,97600
3744,699,1532,660,95300
3974,727,1610,634,107700
2672,533,1151,532,102900
743,171,395,168,88300
2754,570,1063,543,86500
945,205,385,207,58000
1503,343,699,296,84000
1612,313,837,303,89500
